sim_id	distance	allele0	allele1
SimX	0.00434   	1	1.4
SimX	0.00434   	1	1.3
SimX	0.00434   	1	1.4
SimX	0.00434   	1	1.4
SimX	0.00436   	1	1.45
SimX	0.00436   	1	1.4
SimX	0.00436   	1	1.65
SimX	0.00436   	1	1.35
SimX	0.00436   	1	1.4
SimX	0.00436   	1	1.45
SimX	0.00436   	1	1.35
SimX	0.00438   	1	1.45
SimX	0.00438   	1	1.25
SimX	0.00438   	1	1.4
SimX	0.0044    	1	1.3
SimX	0.0044    	1	1.35
SimX	0.0044    	1	1.45
SimX	0.0044    	1	1.4
SimX	0.0044    	1	1.7
SimX	0.00442   	1	1.6
SimX	0.00442   	1	1.3
SimX	0.00442   	1	1.3
SimX	0.00442   	1	1.4
SimX	0.00442   	1	1.35
SimX	0.00442   	1	1.4
SimX	0.00444   	1	1.4
SimX	0.00444   	1	1.45
SimX	0.00444   	1	1.45
SimX	0.00446   	1	1.3
SimX	0.00446   	1	1.35
SimX	0.00446   	1	1.4
SimX	0.00446   	1	1.45
SimX	0.00446   	1	1.4
SimX	0.00446   	1	1.4
SimX	0.00446   	1	1.35
SimX	0.00448   	1	1.45
SimX	0.00448   	1	1.5
SimX	0.00448   	1	1.45
SimX	0.00448   	1	1.35
SimX	0.00448   	1	1.35
SimX	0.0045    	1	1.4
SimX	0.0045    	1	1.35
SimX	0.0045    	1	1.4
SimX	0.0045    	1	1.4
SimX	0.0045    	1	1.3
SimX	0.0045    	1	1.35
SimX	0.0045    	1	1.5
SimX	0.0045    	1	1.45
SimX	0.00451   	1	1.45
SimX	0.00452   	1	1.4
SimX	0.00452   	1	1.4
SimX	0.00452   	1	1.35
SimX	0.00452   	1	1.4
SimX	0.00452   	1	1.35
SimX	0.00452   	1	1.45
SimX	0.00452   	1	1.45
SimX	0.00452   	1	1.6
SimX	0.00452   	1	1.4
SimX	0.00454   	1	1.4
SimX	0.00454   	1	1.4
SimX	0.00454   	1	1.4
SimX	0.00456   	1	1.4
SimX	0.00456   	1	1.4
SimX	0.00456   	1	1.5
SimX	0.00456   	1	1.35
SimX	0.00458   	1	1.4
SimX	0.00458   	1	1.4
SimX	0.00458   	1	1.3
SimX	0.00458   	1	1.45
SimX	0.00458   	1	1.35
SimX	0.00458   	1	1.35
SimX	0.00459   	1	1.45
SimX	0.0046    	1	1.45
SimX	0.0046    	1	1.4
SimX	0.0046    	1	1.4
SimX	0.0046    	1	1.3
SimX	0.0046    	1	1.4
SimX	0.0046    	1	1.4
SimX	0.0046    	1	1.25
SimX	0.0046    	1	1.45
SimX	0.00462   	1	1.4
SimX	0.00462   	1	1.3
SimX	0.00462   	1	1.3
